code,occupation_title,soc_code
0010,Chief executives,11-1011
0020,General and operations managers,11-1021
0030,Legislators,11-1031
0040,Advertising and promotions managers,11-2011
0051,Marketing managers,11-2021
0052,Sales managers,11-2022
0060,Public relations and fundraising managers,11-2030
0101,Administrative services managers,11-3012
0102,Facilities managers,11-3013
0110,Computer and information systems managers,11-3021
0120,Financial managers,11-3031
0135,Compensation and benefits managers,11-3111
0136,Human resources managers,11-3121
0137,Training and development managers,11-3131
0140,Industrial production managers,11-3051
0150,Purchasing managers,11-3061
0160,"Transportation, storage, and distribution managers",11-3071
0205,"Farmers, ranchers, and other agricultural managers",11-9013
0220,Construction managers,11-9021
0230,Education and childcare administrators,11-9030
0300,Architectural and engineering managers,11-9041
0310,Food service managers,11-9051
0325,Funeral home managers,11-9171
0335,Entertainment and recreation managers,11-9070
0340,Lodging managers,11-9081
0350,Medical and health services managers,11-9111
0360,Natural sciences managers,11-9121
0400,Postmasters and mail superintendents,11-9131
0410,"Property, real estate, and community association managers",11-9141
0420,Social and community service managers,11-9151
0425,Emergency management directors,11-9161
0426,"Personal service managers, all other",11-9179
0440,"Managers, all other",11-9199
0500,"Agents and business managers of artists, performers, and athletes",13-1011
0510,"Buyers and purchasing agents, farm products",13-1021
0520,"Wholesale and retail buyers, except farm products",13-1022
0530,"Purchasing agents, except wholesale, retail, and farm products",13-1023
0540,"Claims adjusters, appraisers, examiners, and investigators",13-1030
0565,Compliance officers,13-1041
0600,Cost estimators,13-1051
0630,Human resources workers,13-1070
0640,"Compensation, benefits, and job analysis specialists",13-1141
0650,Training and development specialists,13-1151
0700,Logisticians,13-1081
0705,Project management specialists,13-1082
0710,Management analysts,13-1111
0725,"Meeting, convention, and event planners",13-1121
0726,Fundraisers,13-1131
0735,Market research analysts and marketing specialists,13-1161
0750,"Business operations specialists, all other",13-1199
0800,Accountants and auditors,13-2011
0810,Property appraisers and assessors,13-2020
0820,Budget analysts,13-2031
0830,Credit analysts,13-2041
0845,Financial and investment analysts,13-2051
0850,Personal financial advisors,13-2052
0860,Insurance underwriters,13-2053
0900,Financial examiners,13-2061
0910,Credit counselors and loan officers,13-2070
0930,"Tax examiners and collectors, and revenue agents",13-2081
0940,Tax preparers,13-2082
0960,Other financial specialists,13-20XX
1005,Computer and information research scientists,15-1221
1006,Computer systems analysts,15-1211
1007,Information security analysts,15-1212
1010,Computer programmers,15-1251
1021,Software developers,15-1252
1022,Software quality assurance analysts and testers,15-1253
1031,Web developers,15-1254
1032,Web and digital interface designers,15-1255
1050,Computer support specialists,15-1230
1065,Database administrators and architects,15-124X
1105,Network and computer systems administrators,15-1244
1106,Computer network architects,15-1241
1108,"Computer occupations, all other",15-1299
1200,Actuaries,15-2011
1210,Mathematicians,15-2021
1220,Operations research analysts,15-2031
1230,Statisticians,15-2041
1240,Other mathematical science occupations,15-20XX
1305,"Architects, except landscape and naval",17-1011
1306,Landscape architects,17-1012
1310,"Surveyors, cartographers, and photogrammetrists",17-1020
1320,Aerospace engineers,17-2011
1330,Agricultural engineers,17-2021
1340,Bioengineers and biomedical engineers,17-2031
1350,Chemical engineers,17-2041
1360,Civil engineers,17-2051
1400,Computer hardware engineers,17-2061
1410,Electrical and electronics engineers,17-2070
1420,Environmental engineers,17-2081
1430,"Industrial engineers, including health and safety",17-2110
1440,Marine engineers and naval architects,17-2121
1450,Materials engineers,17-2131
1460,Mechanical engineers,17-2141
1500,"Mining and geological engineers, including mining safety engineers",17-2151
1510,Nuclear engineers,17-2161
1520,Petroleum engineers,17-2171
1530,"Engineers, all other",17-2199
1541,Architectural and civil drafters,17-3011
1545,Other drafters,17-301X
1551,Electrical and electronic engineering technologists and technicians,17-3023
1555,"Other engineering technologists and technicians, except drafters",17-302X
1560,Surveying and mapping technicians,17-3031
1600,Agricultural and food scientists,19-1010
1610,Biological scientists,19-1020
1640,Conservation scientists and foresters,19-1030
1650,Medical scientists,19-1040
1660,"Life scientists, all other",19-1099
1700,Astronomers and physicists,19-2010
1710,Atmospheric and space scientists,19-2021
1720,Chemists and materials scientists,19-2030
1745,"Environmental scientists and specialists, including health",19-2041
1750,"Geoscientists and hydrologists, except geographers",19-204X
1760,"Physical scientists, all other",19-2099
1800,Economists,19-3011
1815,Survey researchers,19-3022
1821,Clinical and counseling psychologists,19-3033
1822,School psychologists,19-3034
1825,Other psychologists,19-303X
1830,Sociologists,19-3041
1840,Urban and regional planners,19-3051
1860,Miscellaneous social scientists and related workers,19-3090
1900,Agricultural and food science technicians,19-4010
1910,Biological technicians,19-4021
1920,Chemical technicians,19-4031
1935,Environmental science and geoscience technicians,19-4040
1940,Nuclear technicians,19-4051
1950,Social science research assistants,19-4061
1970,"Other life, physical, and social science technicians",19-40XX
1980,Occupational health and safety specialists and technicians,19-5010
2001,Substance abuse and behavioral disorder counselors,21-1011
2002,"Educational, guidance, and career counselors and advisors",21-1012
2003,Marriage and family therapists,21-1013
2004,Mental health counselors,21-1014
2005,Rehabilitation counselors,21-1015
2006,"Counselors, all other",21-1019
2011,"Child, family, and school social workers",21-1021
2012,Healthcare social workers,21-1022
2013,Mental health and substance abuse social workers,21-1023
2014,"Social workers, all other",21-1029
2015,Probation officers and correctional treatment specialists,21-1092
2016,Social and human service assistants,21-1093
2025,Other community and social service specialists,21-109X
2040,Clergy,21-2011
2050,"Directors, religious activities and education",21-2021
2060,"Religious workers, all other",21-2099
2100,Lawyers,23-1011
2105,Judicial law clerks,23-1012
2110,"Judges, magistrates, and other judicial workers",23-1020
2145,Paralegals and legal assistants,23-2011
2170,"Title examiners, abstractors, and searchers",23-2093
2180,"Legal support workers, all other",23-2099
2205,Postsecondary teachers,25-1000
2300,Preschool and kindergarten teachers,25-2010
2310,Elementary and middle school teachers,25-2020
2320,Secondary school teachers,25-2030
2330,Special education teachers,25-2050
2350,Tutors,25-3041
2360,Other teachers and instructors,25-30XX
2400,"Archivists, curators, and museum technicians",25-4010
2435,Librarians and media collections specialists,25-4022
2440,Library technicians,25-4031
2545,Teaching assistants,25-9040
2555,Other educational instruction and library workers,25-90XX
2600,Artists and related workers,27-1010
2631,Commercial and industrial designers,27-1021
2632,Fashion designers,27-1022
2633,Floral designers,27-1023
2634,Graphic designers,27-1024
2635,Interior designers,27-1025
2636,Merchandise displayers and window trimmers,27-1026
2640,Other designers,27-102X
2700,Actors,27-2011
2710,Producers and directors,27-2012
2721,Athletes and sports competitors,27-2021
2722,Coaches and scouts,27-2022
2723,"Umpires, referees, and other sports officials",27-2023
2740,Dancers and choreographers,27-2030
2751,Music directors and composers,27-2041
2752,Musicians and singers,27-2042
2755,"Disc jockeys, except radio",27-2091
2770,"Entertainers and performers, sports and related workers, all other",27-2099
2805,Broadcast announcers and radio disc jockeys,27-3011
2810,"News analysts, reporters, and journalists",27-3023
2825,Public relations specialists,27-3031
2830,Editors,27-3041
2840,Technical writers,27-3042
2850,Writers and authors,27-3043
2861,Interpreters and translators,27-3091
2862,Court reporters and simultaneous captioners,27-3092
2865,"Media and communication workers, all other",27-3099
2905,"Broadcast, sound, and lighting technicians",27-4010
2910,Photographers,27-4021
2920,"Television, video, and film camera operators and editors",27-4030
2970,"Media and communication equipment workers, all other",27-4099
3000,Chiropractors,29-1011
3010,Dentists,29-1020
